id,is_inferred,source,target,type,,,,
2,TRUE,Sam,Relationship_Suspicious_217,,,,,
3,FALSE,Sam,Event_Communication_370,sent,,,,
5,TRUE,Sam,Event_Assessment_600,,,,,
3013,TRUE,Sam,Relationship_Colleagues_430,,,,,
,TRUE,Sam,Relationship_Friends_272,,,,,
,TRUE,Sam,Relationship_Colleagues_215,,,,,
,TRUE,Sam,Relationship_Colleagues_431,,,,,
8,FALSE,Kelly,Event_Communication_3,sent,,,,
10,FALSE,Kelly,Event_Communication_443,sent,,,,
,TRUE,Kelly,Relationship_Friends_272,,,,,
,TRUE,Kelly,Relationship_Colleagues_215,,,,,
14,TRUE,Nadia Conti,Relationship_AccessPermission_181,,,,,
13,FALSE,Nadia Conti,Event_Communication_331,sent,,,,
15,FALSE,Nadia Conti,Event_Communication_334,sent,,,,
16,FALSE,Nadia Conti,Event_Communication_529,sent,,,,
17,FALSE,Nadia Conti,Event_Communication_536,sent,,,,
3485,TRUE,Nadia Conti,Relationship_Colleagues_321,,,,,
20,FALSE,Nadia Conti,Event_Communication_538,sent,,,,
21,FALSE,Nadia Conti,Event_Communication_584,sent,,,,
22,TRUE,Nadia Conti,Relationship_Coordinates_493,,,,,
3604,TRUE,Nadia Conti,Relationship_Colleagues_494,,,,,
24,FALSE,Nadia Conti,Event_Communication_795,sent,,,,
25,FALSE,Nadia Conti,Event_Communication_847,sent,,,,
26,TRUE,Nadia Conti,Event_Collaborate_868,,,,,
,TRUE,Nadia Conti,Relationship_Colleagues_431,,,,,
,TRUE,Nadia Conti,Relationship_Colleagues_551,,,,,
,TRUE,Nadia Conti,Relationship_Colleagues_322,,,,,
,TRUE,Nadia Conti,Relationship_Colleagues_319,,,,,
29,FALSE,Elise,Event_Communication_528,sent,,,,
30,TRUE,Elise,Relationship_Suspicious_360,,,,,
31,FALSE,Elise,Event_Communication_601,sent,,,,
32,FALSE,Elise,Event_Communication_647,sent,,,,
33,TRUE,Elise,Relationship_Coordinates_428,,,,,
35,FALSE,Elise,Event_Communication_708,sent,,,,
36,FALSE,Elise,Event_Communication_727,sent,,,,
3486,TRUE,Elise,Relationship_Colleagues_430,,,,,
3046,TRUE,Elise,Relationship_Colleagues_321,,,,,
,TRUE,Elise,Relationship_Colleagues_320,,,,,
46,TRUE,Liam Thorne,Event_Assessment_41,,,,,
38,TRUE,Liam Thorne,Event_Enforcement_42,,,,,
42,TRUE,Liam Thorne,Relationship_Coordinates_24,,,,,
41,FALSE,Liam Thorne,Event_Communication_43,sent,,,,
44,TRUE,Liam Thorne,Relationship_Coordinates_172,,,,,
48,FALSE,Liam Thorne,Event_Communication_338,sent,,,,
49,TRUE,Liam Thorne,Relationship_AccessPermission_313,,,,,
51,FALSE,Liam Thorne,Event_Communication_531,sent,,,,
53,TRUE,Liam Thorne,Event_Monitoring_534,,,,,
54,TRUE,Liam Thorne,Relationship_Suspicious_317,,,,,
56,FALSE,Liam Thorne,Event_Communication_535,sent,,,,
57,TRUE,Liam Thorne,Event_Collaborate_697,,,,,
59,TRUE,Liam Thorne,Relationship_Coordinates_423,,,,,
58,TRUE,Liam Thorne,Event_Collaborate_723,,,,,
61,TRUE,Liam Thorne,Relationship_Suspicious_436,,,,,
62,FALSE,Liam Thorne,Event_Communication_724,sent,,,,
63,TRUE,Liam Thorne,Relationship_Coordinates_445,,,,,
64,FALSE,Liam Thorne,Event_Communication_739,sent,,,,
65,FALSE,Liam Thorne,Event_Communication_749,sent,,,,
67,FALSE,Liam Thorne,Event_Communication_753,sent,,,,
69,FALSE,Liam Thorne,Event_Communication_881,sent,,,,
52,TRUE,Liam Thorne,Relationship_Reports_587,,,,,
72,FALSE,Liam Thorne,Event_Communication_933,sent,,,,
73,FALSE,Liam Thorne,Event_Communication_953,sent,,,,
3734,TRUE,Liam Thorne,Relationship_Colleagues_494,,,,,
,TRUE,Liam Thorne,Relationship_Colleagues_121,,,,,
74,TRUE,Samantha Blake,Relationship_Coordinates_30,,,,,
75,FALSE,Samantha Blake,Event_Communication_64,sent,,,,
77,FALSE,Samantha Blake,Event_Communication_67,sent,,,,
79,FALSE,Samantha Blake,Event_Communication_103,sent,,,,
80,FALSE,Samantha Blake,Event_Communication_113,sent,,,,
81,TRUE,Samantha Blake,Relationship_Coordinates_226,,,,,
83,FALSE,Samantha Blake,Event_Communication_381,sent,,,,
84,TRUE,Samantha Blake,Relationship_Unfriendly_229,,,,,
86,FALSE,Samantha Blake,Event_Communication_544,sent,,,,
88,FALSE,Samantha Blake,Event_Communication_640,sent,,,,
89,FALSE,Samantha Blake,Event_Communication_685,sent,,,,
87,TRUE,Samantha Blake,Relationship_AccessPermission_415,,,,,
91,FALSE,Samantha Blake,Event_Communication_687,sent,,,,
92,TRUE,Samantha Blake,Relationship_Operates_459,,,,,
93,TRUE,Samantha Blake,Relationship_Operates_463,,,,,
94,FALSE,Davis,Event_Communication_20,sent,,,,
97,FALSE,Davis,Event_Communication_115,sent,,,,
120,TRUE,Davis,Relationship_Operates_58,,,,,
99,TRUE,Davis,Relationship_Operates_65,,,,,
102,FALSE,Davis,Event_Communication_260,sent,,,,
104,TRUE,Davis,Relationship_AccessPermission_161,,,,,
105,FALSE,Davis,Event_Communication_281,sent,,,,
107,FALSE,Davis,Event_Communication_282,sent,,,,
110,FALSE,Davis,Event_Communication_291,sent,,,,
112,FALSE,Davis,Event_Communication_295,sent,,,,
114,FALSE,Davis,Event_Communication_343,sent,,,,
116,FALSE,Davis,Event_Communication_521,sent,,,,
118,FALSE,Davis,Event_Communication_548,sent,,,,
119,TRUE,Davis,Event_Collaborate_550,,,,,
121,FALSE,Davis,Event_Communication_551,sent,,,,
122,FALSE,Davis,Event_Communication_581,sent,,,,
124,FALSE,Davis,Event_Communication_582,sent,,,,
125,TRUE,Davis,Event_Assessment_583,,,,,
126,TRUE,Davis,Relationship_Operates_351,,,,,
127,FALSE,Davis,Event_Communication_585,sent,,,,
128,TRUE,Davis,Relationship_Operates_352,,,,,
130,FALSE,Davis,Event_Communication_639,sent,,,,
132,FALSE,Davis,Event_Communication_802,sent,,,,
133,TRUE,Davis,Event_Collaborate_818,,,,,
135,TRUE,Davis,Relationship_AccessPermission_511,,,,,
136,FALSE,Davis,Event_Communication_819,sent,,,,
139,FALSE,Davis,Event_Communication_844,sent,,,,
140,FALSE,Davis,Event_Communication_845,sent,,,,
142,TRUE,Davis,Relationship_Operates_543,,,,,
103,TRUE,Davis,Relationship_Operates_546,,,,,
145,FALSE,Davis,Event_Communication_853,sent,,,,
146,TRUE,Davis,Event_Collaborate_868,,,,,
148,FALSE,Davis,Event_Communication_869,sent,,,,
150,TRUE,Davis,Relationship_AccessPermission_564,,,,,
152,TRUE,Davis,Relationship_Suspicious_577,,,,,
153,FALSE,Davis,Event_Communication_916,sent,,,,
155,FALSE,Davis,Event_Communication_963,sent,,,,
157,FALSE,Davis,Event_Communication_964,sent,,,,
3760,TRUE,Davis,Relationship_Colleagues_619,,,,,
160,FALSE,Davis,Event_Communication_986,sent,,,,
,TRUE,Davis,Relationship_Colleagues_551,,,,,
,TRUE,Davis,Relationship_Colleagues_45,,,,,
,TRUE,Davis,Relationship_Colleagues_536,,,,,
,TRUE,Davis,Relationship_Colleagues_617,,,,,
,TRUE,Davis,Relationship_Colleagues_66,,,,,
,TRUE,Davis,Relationship_Colleagues_628,,,,,
162,TRUE,Rodriguez,Relationship_Operates_75,,,,,
163,FALSE,Rodriguez,Event_Communication_142,sent,,,,
165,TRUE,Rodriguez,Event_Assessment_198,,,,,
167,FALSE,Rodriguez,Event_Communication_199,sent,,,,
169,TRUE,Rodriguez,Event_Collaborate_200,,,,,
170,TRUE,Rodriguez,Relationship_Suspicious_113,,,,,
171,FALSE,Rodriguez,Event_Communication_240,sent,,,,
172,FALSE,Rodriguez,Event_Communication_328,sent,,,,
174,FALSE,Rodriguez,Event_Communication_401,sent,,,,
176,FALSE,Rodriguez,Event_Communication_511,sent,,,,
177,FALSE,Rodriguez,Event_Communication_562,sent,,,,
178,TRUE,Rodriguez,Relationship_Operates_352,,,,,
180,FALSE,Rodriguez,Event_Communication_588,sent,,,,
175,TRUE,Rodriguez,Relationship_Operates_476,,,,,
182,FALSE,Rodriguez,Event_Communication_764,sent,,,,
184,FALSE,Rodriguez,Event_Communication_804,sent,,,,
185,FALSE,Rodriguez,Event_Communication_805,sent,,,,
187,TRUE,Rodriguez,Relationship_Operates_505,,,,,
188,FALSE,Rodriguez,Event_Communication_810,sent,,,,
189,FALSE,Rodriguez,Event_Communication_893,sent,,,,
190,FALSE,Rodriguez,Event_Communication_982,sent,,,,
4255,TRUE,Rodriguez,Relationship_Colleagues_619,,,,,
,TRUE,Rodriguez,Relationship_Colleagues_102,,,,,
,TRUE,Rodriguez,Relationship_Colleagues_16,,,,,
,TRUE,Rodriguez,Relationship_Colleagues_83,,,,,
,TRUE,Sailor Shift,Relationship_Colleagues_45,,,,,
192,FALSE,Clepper Jensen,Event_Communication_128,sent,,,,
194,TRUE,Clepper Jensen,Relationship_Suspicious_71,,,,,
195,FALSE,Clepper Jensen,Event_Communication_131,sent,,,,
197,FALSE,Clepper Jensen,Event_Communication_132,sent,,,,
198,FALSE,Clepper Jensen,Event_Communication_135,sent,,,,
208,TRUE,Clepper Jensen,Relationship_Suspicious_106,,,,,
193,TRUE,Clepper Jensen,Relationship_Suspicious_107,,,,,
202,TRUE,Clepper Jensen,Relationship_Suspicious_108,,,,,
203,FALSE,Clepper Jensen,Event_Communication_203,sent,,,,
205,FALSE,Clepper Jensen,Event_Communication_205,sent,,,,
207,FALSE,Clepper Jensen,Event_Communication_207,sent,,,,
210,FALSE,Clepper Jensen,Event_Communication_357,sent,,,,
212,FALSE,Clepper Jensen,Event_Communication_360,sent,,,,
213,FALSE,Clepper Jensen,Event_Communication_362,sent,,,,
214,TRUE,Clepper Jensen,Relationship_Reports_218,,,,,
216,FALSE,Clepper Jensen,Event_Communication_377,sent,,,,
218,FALSE,Clepper Jensen,Event_Communication_468,sent,,,,
220,FALSE,Clepper Jensen,Event_Communication_470,sent,,,,
221,FALSE,Clepper Jensen,Event_Communication_474,sent,,,,
223,FALSE,Clepper Jensen,Event_Communication_476,sent,,,,
225,FALSE,Clepper Jensen,Event_Communication_479,sent,,,,
227,FALSE,Clepper Jensen,Event_Communication_768,sent,,,,
229,FALSE,Clepper Jensen,Event_Communication_771,sent,,,,
231,FALSE,Clepper Jensen,Event_Communication_773,sent,,,,
233,TRUE,Clepper Jensen,Relationship_Suspicious_485,,,,,
234,FALSE,Clepper Jensen,Event_Communication_775,sent,,,,
,TRUE,Clepper Jensen,Relationship_Colleagues_290,,,,,
236,FALSE,Miranda Jordan,Event_Communication_126,sent,,,,
237,TRUE,Miranda Jordan,Event_Monitoring_129,,,,,
239,TRUE,Miranda Jordan,Relationship_Reports_69,,,,,
240,FALSE,Miranda Jordan,Event_Communication_130,sent,,,,
241,TRUE,Miranda Jordan,Event_Monitoring_133,,,,,
242,TRUE,Miranda Jordan,Relationship_Reports_73,,,,,
243,TRUE,Miranda Jordan,Relationship_Suspicious_74,,,,,
244,FALSE,Miranda Jordan,Event_Communication_134,sent,,,,
246,FALSE,Miranda Jordan,Event_Communication_201,sent,,,,
245,TRUE,Miranda Jordan,Relationship_Suspicious_110,,,,,
248,FALSE,Miranda Jordan,Event_Communication_204,sent,,,,
249,FALSE,Miranda Jordan,Event_Communication_206,sent,,,,
250,TRUE,Miranda Jordan,Event_Monitoring_358,,,,,
251,TRUE,Miranda Jordan,Relationship_Reports_205,,,,,
252,FALSE,Miranda Jordan,Event_Communication_359,sent,,,,
253,FALSE,Miranda Jordan,Event_Communication_361,sent,,,,
254,FALSE,Miranda Jordan,Event_Communication_376,sent,,,,
255,FALSE,Miranda Jordan,Event_Communication_469,sent,,,,
256,FALSE,Miranda Jordan,Event_Communication_473,sent,,,,
257,FALSE,Miranda Jordan,Event_Communication_475,sent,,,,
258,TRUE,Miranda Jordan,Relationship_Reports_288,,,,,
259,FALSE,Miranda Jordan,Event_Communication_478,sent,,,,
